Boletín Oficial de la Gobernación de Catamarca;libre;catamarca, boletín-oficial; Media;2011-01-01;provincial;semanal;Gobierno de la provincia de Catamarca;http://www.boletinoficial.catamarca.gov.ar/;0;;Web Service;Catamarca;Boletín oficial y judicial digital de la gobernación provincial de Catamarca.
Presupuesto de Universidades Nacionales 2010;libre;presupuesto, educación;Alta;2010-01-01;nacional;anual;Ministerio de Economía y Finanzas Públicas;http://www.mecon.gov.ar/onp/html/presutexto/proy2010/ley/pdf/planillas_anexas/capitulo1/universidades.xls;25;xls;Download;desconocida;Presupuesto de las Universidades Nacionales durante el año 2010. Distribución de creditos en pesos.
Detalle de Proyectos con localización del Plan Nacional de Inversión Pública;libre;asignación, gasto-público, inversión;Media;2010-01-01;nacional;anual;Secretaría de Política Económica;http://www.mecon.gov.ar/peconomica/basehome/plan_inversion_publica/detalle_proyecto2010-2012.xls;860;xls;Download;desconocida;"Planilla en excel con los detalles sobre monto asignado; quien lo asigna y descripción de la asignación. "
Plan de Inversión Pública 2008/2010;libre;inversión;Media;2010-01-01;nacional;anual;Secretaría de Política Económica;http://www.mecon.gov.ar/peconomica/basehome/plan_inversion_publica/jurisdiccion-organismo.pdf;406;pdf;Download;desconocida;"PDF con una listado que especifica gastos; montos y en qué se hizo."
Plan de Inversión pública 2010/2012;libre;inversión;Baja;2010-01-01;nacional;anual;Secretaría de Política Económica;http://www.mecon.gov.ar/peconomica/basehome/plan_inversion_publica/jurisdiccion-organismo_2010-2012.pdf;737;pdf;Download;desconocida;Listado con la inversión futura.
Tucuman Compra;libre;compras, gasto, licitaciones, provedores;Media;2011-01-01;provincial;otro;Gobierno de Tucumán;http://rig.tucuman.gov.ar/obras_publicas/httpdocs_compras/home.html;0;;Web Service;Tucuman;"Pagina Web con licitaciones; adjudicaciones y provedores"
Ejecución Presupuestaria - San Juan;libre;presupuesto;Media;2010-01-01;provincial;anual;Ministerio de Hacienda - San Juan;http://hacienda.sanjuan.gov.ar/respfiscal/archivos_2010_2/ANEXO_I_BASEDEV_JUNIO_2010.xls;101;xls;Download;San Juan;Ejecución Presupuestaria - San Juan
Portal de la Transparencia;libre;transparencia, boletín-oficial, sueldos, presupuesto;Media;2010-01-01;provincial;otro;Gobierno de Chubut;http://www.chubut.gov.ar/portal/transparencia/;0;;Web Service;Chubut;"Presupuesto; sueldos de administración pública; boletines oficiales"
SERIES DE GASTO PUBLICO 1980-2010;libre;gasto-público;Baja;2011-02-02;otro;otro;Secretaría de Política Económica;http://www.mecon.gov.ar/peconomica/basehome/series_gasto.html;0;;Web Service;desconocida;Varios links al detalle del gasto público en formato de XLS's. Se publican además en este sitios otros tipos de estudio sobre el gasto.
Compras Mendoza;libre;compras, gasto, licitaciones, provedores;Baja;2011-01-01;provincial;otro;Gobierno de Mendoza;http://www.compras.mendoza.gov.ar/;0;;Web Service;Mendoza;Detalles de licitaciones y compras. Se puede filtrar por finalizadas y vigentes.
Informacion Contable de la provincia de Rio Negro;libre;inversión, información-contable;Media;2011-01-01;provincial;mensual;Legislatura rionegrina;http://www.legisrn.gov.ar/carga_contable/ver_contable.php;0;;Web Service;Rio Negro;Recursos en formato PDF de la tesoreria rionegrina
Contrataciones de la Provincia de Buenos Aires;libre;contrataciones;Media;2011-01-01;provincial;otro;Gobierno de la provincia de Buenos Aires;http://sistemas.gba.gov.ar/consulta/contrataciones/;0;;Web Service;Buenos Aires;El buscador permite refinar la búsqueda y obtener la información correspondiente a las contrataciones hechas por el Gobierno de Buenos Aires.
Evolución de la matrícula por sector de gestión según tipo de educación y nivel de enseñanza. 1998-2009;libre;educación;Media;2010-01-01;otro;otro;Gobierno de la Ciudad de Buenos Aires;http://www.buenosaires.gov.ar/areas/hacienda/sis_estadistico/areas_tematicas/educacion/educ_rel_anual/educ_relanual_total/E_M_AX06.xls;20;xls;Download;Ciudad de Buenos Aires;Evolución de la matrícula por sector de gestión según tipo de educación y nivel de enseñanza. 
Banco de Datos de la Ciudad de Buenos Aires;libre;educación, comercio, estadísticas, salud;Alta;2010-01-01;otro;otro;Gobierno de la Ciudad de Buenos Aires;http://www.buenosaires.gov.ar/areas/hacienda/sis_estadistico/areas_tematicas/?menu_id=31132;0;;Web Service;Ciudad de Buenos Aires;Banco de datos de diversa índole que publica el Gobierno de la ciudad de buenos aires.
